property_type,room_type,accommodates,bathrooms,city,number_of_reviews,log_price
Apartment,Entire home/apt,5,1.0,SF,120,5.4161004020000005
Apartment,Private room,2,1.0,NYC,10,4.248495242
Condominium,Entire home/apt,2,1.0,LA,1,4.86753445
Apartment,Private room,2,1.0,LA,1,3.912023005
Apartment,Entire home/apt,5,1.0,NYC,24,4.941642423
House,Entire home/apt,4,1.0,LA,47,4.3694478519999995
Apartment,Private room,1,1.0,NYC,2,4.094344562
Apartment,Entire home/apt,2,1.0,Boston,1,4.941642423
Apartment,Entire home/apt,3,1.0,DC,4,5.010635294
Apartment,Entire home/apt,8,1.0,NYC,38,5.192956851
Condominium,Private room,1,1.0,Boston,0,4.6051701860000005
Apartment,Private room,2,1.0,NYC,10,4.17438727
Apartment,Entire home/apt,5,1.0,NYC,8,4.317488114
House,Entire home/apt,3,1.0,LA,98,4.543294782
Apartment,Private room,2,1.0,LA,13,4.553876892
House,Entire home/apt,8,2.5,LA,26,5.9914645470000005
Apartment,Private room,2,1.0,Boston,0,4.317488114
Apartment,Private room,5,1.0,NYC,45,3.912023005
Guesthouse,Private room,1,1.0,LA,0,4.6051701860000005
Apartment,Private room,2,1.0,NYC,0,4.709530201000001
Apartment,Entire home/apt,6,1.0,Boston,10,5.9914645470000005
Apartment,Entire home/apt,5,1.0,Boston,36,4.6051701860000005
Apartment,Private room,1,1.0,NYC,1,3.555348061
Apartment,Private room,2,1.0,NYC,26,4.787491743
Apartment,Private room,2,1.0,NYC,108,4.248495242
Apartment,Private room,1,1.0,NYC,0,4.828313737
Apartment,Private room,2,1.0,NYC,104,3.9889840469999998
Apartment,Private room,2,1.0,Boston,0,3.688879454
Apartment,Entire home/apt,2,1.0,DC,1,4.700480366
Guesthouse,Entire home/apt,3,1.0,LA,37,4.248495242
House,Entire home/apt,2,1.0,DC,10,4.9767337419999995
Loft,Entire home/apt,8,1.5,NYC,87,6.194405391
Apartment,Private room,2,1.0,NYC,5,4.248495242
Apartment,Private room,1,1.0,NYC,3,4.007333185
Apartment,Private room,1,1.0,LA,2,4.007333185
Apartment,Entire home/apt,6,1.0,DC,51,4.828313737
House,Private room,2,1.0,LA,34,4.5643481910000006
Apartment,Private room,1,1.0,LA,0,5.164785974
Apartment,Entire home/apt,4,1.0,NYC,1,5.010635294
Other,Private room,2,1.0,LA,13,4.007333185
Apartment,Private room,6,1.0,Chicago,6,4.17438727
Condominium,Entire home/apt,3,1.0,NYC,2,4.691347882
House,Private room,1,1.0,SF,0,4.787491743
Townhouse,Entire home/apt,10,2.0,LA,19,4.852030264
House,Private room,2,1.0,SF,9,4.33073334
Apartment,Entire home/apt,3,1.0,NYC,0,5.4161004020000005
Apartment,Entire home/apt,4,1.0,NYC,0,5.220355825
House,Private room,2,1.0,LA,0,5.164785974
House,Entire home/apt,3,1.0,LA,1,4.6051701860000005
Apartment,Private room,2,1.0,NYC,3,4.718498871
Apartment,Entire home/apt,4,1.0,NYC,70,5.0039463060000005
Bed & Breakfast,Private room,3,1.0,DC,2,5.272999559
Bed & Breakfast,Private room,3,1.0,LA,20,4.382026635
Apartment,Private room,2,1.0,NYC,0,5.288267031
Apartment,Private room,2,1.0,NYC,24,4.941642423
Apartment,Entire home/apt,2,1.0,NYC,1,5.8579331539999995
Boat,Entire home/apt,4,1.0,LA,33,4.59511985
Townhouse,Entire home/apt,8,2.0,NYC,0,5.164785974
Loft,Entire home/apt,5,2.0,NYC,47,7.090076836000001
Castle,Private room,14,4.0,LA,23,6.599870499
Apartment,Entire home/apt,2,1.0,NYC,1,4.9767337419999995
House,Entire home/apt,3,1.0,LA,99,4.644390898999999
Condominium,Entire home/apt,5,2.0,SF,0,5.187385806
Apartment,Private room,2,1.0,NYC,14,4.382026635
Apartment,Entire home/apt,4,1.0,DC,0,6.856461985
House,Entire home/apt,4,1.0,LA,114,5.700443572999999
House,Private room,2,1.0,NYC,16,3.6635616460000002
Apartment,Private room,2,1.0,SF,35,4.787491743
House,Private room,2,1.0,SF,0,7.598399328999999
House,Entire home/apt,6,1.0,NYC,66,4.905274778
Condominium,Entire home/apt,2,1.5,DC,53,4.718498871
Other,Entire home/apt,4,1.0,NYC,1,5.135798437
Apartment,Entire home/apt,4,1.0,NYC,1,5.59471138
Apartment,Private room,1,1.0,NYC,2,4.234106505
Apartment,Entire home/apt,4,2.0,Boston,0,6.396929655
Apartment,Private room,2,1.0,NYC,6,5.075173815
Apartment,Private room,2,1.0,NYC,0,5.4161004020000005
Apartment,Entire home/apt,4,1.0,DC,10,5.105945473999999
Apartment,Private room,1,1.0,NYC,0,4.094344562
House,Private room,4,2.0,LA,1,4.6051701860000005
Apartment,Private room,2,1.0,NYC,0,4.317488114
House,Entire home/apt,8,2.5,LA,5,6.549650742000001
Apartment,Entire home/apt,1,1.0,LA,15,4.779123493
Townhouse,Entire home/apt,8,3.5,LA,0,6.678342115
Apartment,Private room,1,1.0,LA,2,4.406719247
House,Entire home/apt,12,3.0,NYC,2,6.396929655
Apartment,Private room,2,1.0,NYC,0,3.912023005
Apartment,Private room,2,1.0,NYC,1,3.912023005
Apartment,Private room,2,1.0,NYC,12,4.5643481910000006
Apartment,Private room,2,1.0,NYC,0,4.787491743
Apartment,Shared room,1,1.0,LA,0,4.17438727
Apartment,Entire home/apt,2,1.0,NYC,1,4.905274778
House,Entire home/apt,4,2.0,LA,12,5.293304825
Apartment,Private room,1,1.5,NYC,0,3.737669618
House,Entire home/apt,12,3.5,LA,58,6.9027427370000005
House,Entire home/apt,12,2.0,Boston,9,6.9027427370000005
Apartment,Entire home/apt,3,1.5,NYC,0,5.6869753560000005
Apartment,Shared room,1,1.0,LA,134,3.737669618
Condominium,Private room,1,2.0,Boston,0,3.688879454
Apartment,Entire home/apt,2,1.0,SF,32,5.298317367
Apartment,Entire home/apt,5,1.0,Chicago,83,5.135798437
Apartment,Entire home/apt,2,2.0,SF,0,5.010635294
House,Entire home/apt,6,2.0,Boston,49,5.272999559
Apartment,Private room,1,1.0,LA,18,3.496507561
Apartment,Entire home/apt,3,1.0,LA,6,5.010635294
Apartment,Entire home/apt,2,1.0,DC,0,4.6051701860000005
Apartment,Entire home/apt,6,1.0,NYC,18,5.8579331539999995
House,Private room,1,1.0,NYC,9,3.610917913
Apartment,Private room,2,1.0,NYC,3,4.17438727
House,Entire home/apt,3,1.0,LA,66,4.48863637
Apartment,Entire home/apt,4,1.0,NYC,33,4.744932128
House,Entire home/apt,4,1.0,LA,17,5.105945473999999
Apartment,Entire home/apt,2,1.0,NYC,0,5.010635294
Apartment,Entire home/apt,6,1.0,SF,24,5.293304825
Apartment,Entire home/apt,2,1.0,SF,20,5.796057751
Apartment,Entire home/apt,4,1.0,NYC,2,4.49980967
Apartment,Entire home/apt,4,1.0,Chicago,182,4.941642423
Apartment,Entire home/apt,3,1.0,NYC,84,4.787491743
Apartment,Entire home/apt,5,1.0,NYC,7,4.787491743
Apartment,Entire home/apt,4,2.0,LA,0,4.905274778
Townhouse,Entire home/apt,8,2.0,DC,2,7.2442275160000005
Apartment,Entire home/apt,4,1.0,NYC,36,4.9767337419999995
Apartment,Private room,1,1.0,NYC,1,3.912023005
Apartment,Entire home/apt,2,1.0,DC,5,4.6051701860000005
Townhouse,Private room,8,3.0,NYC,41,4.043051268
Apartment,Entire home/apt,3,1.0,NYC,58,5.298317367
Apartment,Private room,2,1.0,NYC,15,4.219507705
Apartment,Entire home/apt,2,1.0,NYC,11,4.941642423
House,Entire home/apt,7,2.0,LA,3,5.241747015
Apartment,Private room,2,1.0,SF,4,4.828313737
Apartment,Private room,2,1.0,NYC,6,4.49980967
House,Entire home/apt,5,2.5,DC,0,6.214608097999999
Apartment,Entire home/apt,4,1.0,LA,41,4.8598124039999995
Apartment,Entire home/apt,2,1.0,NYC,4,4.744932128
Apartment,Entire home/apt,5,2.0,LA,52,5.010635294
Apartment,Private room,2,1.0,NYC,8,4.6051701860000005
Apartment,Entire home/apt,2,1.0,SF,1,4.787491743
House,Private room,2,1.0,LA,6,3.871201011
Condominium,Entire home/apt,4,2.0,LA,0,5.963579343999999
Apartment,Entire home/apt,3,1.0,NYC,0,4.941642423
Apartment,Entire home/apt,4,1.0,LA,24,5.351858133
Apartment,Private room,2,1.0,LA,1,3.8918202980000003
Apartment,Entire home/apt,1,1.0,Boston,0,5.616771097999999
Apartment,Entire home/apt,4,1.0,SF,0,5.521460918
Apartment,Entire home/apt,3,1.0,NYC,0,5.298317367
Bungalow,Entire home/apt,2,1.0,LA,45,4.382026635
Apartment,Private room,2,1.0,NYC,49,4.317488114
Apartment,Entire home/apt,2,1.0,NYC,33,5.164785974
Apartment,Entire home/apt,6,1.0,SF,17,4.890349128
Apartment,Entire home/apt,8,2.0,Boston,9,5.843544417
House,Private room,1,1.0,LA,0,4.382026635
House,Shared room,1,1.0,LA,4,3.218875825
Apartment,Entire home/apt,8,2.0,LA,4,5.700443572999999
Apartment,Entire home/apt,2,1.0,NYC,5,4.454347296
Apartment,Entire home/apt,4,1.0,LA,2,4.553876892
Apartment,Entire home/apt,5,3.0,NYC,4,5.616771097999999
House,Private room,2,1.0,Boston,6,3.912023005
Apartment,Private room,6,1.0,NYC,13,4.663439094
Townhouse,Entire home/apt,4,1.0,DC,84,4.634728988
Apartment,Entire home/apt,6,1.0,NYC,0,5.010635294
Apartment,Private room,1,1.0,NYC,1,4.787491743
Condominium,Entire home/apt,4,1.0,NYC,11,6.421622267999999
Apartment,Entire home/apt,3,2.0,LA,0,5.521460918
Apartment,Entire home/apt,3,1.0,NYC,0,5.293304825
House,Entire home/apt,11,4.5,DC,4,6.620073207000001
Apartment,Entire home/apt,4,1.0,DC,9,5.1984970310000005
Apartment,Entire home/apt,3,1.0,DC,31,4.49980967
Apartment,Entire home/apt,4,1.0,NYC,16,6.620073207000001
Apartment,Entire home/apt,8,1.0,NYC,77,5.631211782
Apartment,Entire home/apt,4,1.0,LA,4,4.442651256
Apartment,Private room,1,1.0,NYC,5,3.6635616460000002
Apartment,Entire home/apt,4,1.0,NYC,26,5.267858158999999
Apartment,Entire home/apt,2,1.0,NYC,6,4.49980967
Apartment,Private room,3,1.0,NYC,17,4.744932128
Apartment,Private room,2,1.0,LA,0,4.828313737
House,Entire home/apt,4,2.0,LA,0,5.521460918
Timeshare,Entire home/apt,2,1.0,NYC,2,5.521460918
House,Private room,2,1.0,LA,26,4.6051701860000005
House,Private room,2,1.0,Boston,66,3.17805383
Apartment,Private room,2,1.0,LA,0,4.043051268
Apartment,Private room,4,1.0,NYC,33,4.094344562
Apartment,Entire home/apt,4,1.0,LA,167,4.6051701860000005
House,Private room,1,1.0,NYC,0,3.555348061
House,Entire home/apt,9,2.5,DC,4,6.234410726
Townhouse,Entire home/apt,4,1.0,DC,12,4.941642423
Apartment,Private room,2,1.0,NYC,47,4.442651256
House,Private room,2,2.0,Boston,74,4.442651256
Apartment,Entire home/apt,4,1.0,NYC,2,5.105945473999999
Apartment,Private room,1,1.0,NYC,1,3.80666249
House,Private room,2,1.0,LA,0,4.317488114
House,Entire home/apt,2,1.0,LA,18,4.905274778
Townhouse,Private room,1,1.0,DC,0,3.63758616
Apartment,Private room,2,1.0,NYC,4,4.248495242
Apartment,Entire home/apt,2,1.0,NYC,13,4.8598124039999995
Apartment,Private room,2,1.0,SF,12,4.5849674789999995
Apartment,Entire home/apt,2,1.0,LA,71,4.077537444
Apartment,Private room,2,1.0,NYC,36,4.48863637
Townhouse,Entire home/apt,4,1.5,DC,1,5.616771097999999
Apartment,Private room,1,2.0,NYC,14,3.555348061
Villa,Entire home/apt,4,1.0,LA,50,4.787491743
House,Private room,2,1.0,LA,10,4.17438727
Apartment,Entire home/apt,5,2.0,NYC,8,5.298317367
Apartment,Entire home/apt,4,1.0,LA,0,5.616771097999999
Apartment,Private room,1,1.0,NYC,38,4.17438727
Apartment,Entire home/apt,4,1.0,NYC,7,5.4161004020000005
Apartment,Entire home/apt,4,1.0,Boston,26,5.703782475
House,Entire home/apt,6,2.0,LA,78,5.298317367
Apartment,Entire home/apt,3,1.0,LA,16,4.941642423
Apartment,Entire home/apt,2,1.0,DC,0,6.551080335
Townhouse,Entire home/apt,4,2.0,LA,24,5.5606816310000005
Apartment,Shared room,2,1.0,LA,0,4.86753445
Townhouse,Private room,2,2.0,NYC,16,4.234106505
House,Private room,4,1.0,LA,0,4.127134385
House,Private room,2,1.0,LA,2,5.068904202
Apartment,Entire home/apt,4,1.0,NYC,44,4.59511985
Apartment,Entire home/apt,3,1.0,NYC,0,4.6051701860000005
Apartment,Entire home/apt,2,1.0,NYC,15,4.624972813
Apartment,Entire home/apt,7,1.0,NYC,0,5.010635294
House,Entire home/apt,4,1.0,LA,56,4.941642423
Apartment,Private room,2,1.0,SF,36,4.718498871
Apartment,Entire home/apt,6,2.0,LA,0,5.220355825
House,Private room,1,1.0,LA,6,3.912023005
Apartment,Entire home/apt,2,1.0,NYC,25,5.010635294
House,Entire home/apt,2,1.0,LA,8,4.828313737
Condominium,Entire home/apt,2,1.0,LA,2,4.828313737
House,Private room,2,3.0,NYC,20,4.234106505
Apartment,Private room,2,1.0,NYC,2,4.9344739330000005
Apartment,Entire home/apt,3,1.0,NYC,66,4.744932128
Apartment,Entire home/apt,5,2.0,DC,5,5.272999559
Apartment,Private room,2,1.0,NYC,7,4.077537444
Apartment,Private room,2,1.0,NYC,38,4.317488114
Apartment,Entire home/apt,3,1.0,NYC,92,5.105945473999999
Apartment,Private room,4,0.0,NYC,1,4.094344562
Apartment,Entire home/apt,6,2.0,NYC,0,5.8579331539999995
Townhouse,Private room,2,1.5,LA,0,4.304065093
House,Private room,2,1.0,LA,7,3.688879454
Apartment,Entire home/apt,4,1.0,LA,60,5.517452896
Apartment,Entire home/apt,6,1.5,DC,0,5.703782475
Apartment,Private room,2,1.0,DC,1,4.700480366
Apartment,Entire home/apt,4,1.0,LA,2,4.59511985
Loft,Entire home/apt,4,1.0,NYC,0,4.86753445
Apartment,Private room,1,1.0,NYC,0,4.49980967
Apartment,Entire home/apt,6,2.0,NYC,1,4.828313737
House,Entire home/apt,8,2.5,DC,0,6.261491684
House,Entire home/apt,2,1.0,SF,115,5.105945473999999
Apartment,Entire home/apt,2,1.0,LA,46,4.905274778
Apartment,Entire home/apt,5,1.0,NYC,0,6.109247582999999
House,Private room,2,1.0,DC,39,3.688879454
Apartment,Private room,1,1.5,Boston,176,4.204692618999999
Apartment,Entire home/apt,6,1.0,NYC,11,5.135798437
Apartment,Private room,2,1.0,LA,1,4.6051701860000005
Apartment,Entire home/apt,3,1.0,NYC,0,5.010635294
Apartment,Entire home/apt,5,1.0,NYC,7,5.459585514
Timeshare,Private room,4,2.0,SF,0,5.298317367
Apartment,Private room,2,1.0,NYC,9,4.382026635
Loft,Entire home/apt,6,1.0,NYC,20,5.010635294
Condominium,Entire home/apt,2,1.5,Boston,1,4.787491743
House,Private room,2,1.0,LA,30,3.912023005
Apartment,Entire home/apt,5,1.0,NYC,8,5.521460918
Dorm,Shared room,6,0.0,LA,62,3.8918202980000003
Apartment,Private room,2,1.0,NYC,4,4.382026635
Apartment,Entire home/apt,4,1.0,DC,0,4.59511985
Apartment,Private room,1,1.0,NYC,168,4.59511985
Apartment,Private room,1,1.0,NYC,5,3.912023005
House,Entire home/apt,8,2.0,NYC,94,5.8579331539999995
Apartment,Entire home/apt,2,1.0,LA,16,4.700480366
Apartment,Private room,2,1.0,SF,90,4.65396035
Apartment,Private room,2,1.0,NYC,1,3.8918202980000003
Bed & Breakfast,Private room,2,1.0,LA,28,4.442651256
Apartment,Entire home/apt,2,1.0,Chicago,5,4.49980967
House,Private room,1,0.5,LA,4,3.36729583
Apartment,Entire home/apt,2,1.0,NYC,17,5.298317367
Townhouse,Entire home/apt,9,3.5,DC,29,5.953243334
House,Private room,1,1.5,LA,8,3.737669618
House,Private room,3,1.0,NYC,16,3.218875825
Apartment,Entire home/apt,5,2.5,DC,16,5.926926026
House,Private room,1,2.0,NYC,5,3.828641396
Condominium,Entire home/apt,2,1.0,Boston,3,5.164785974
Apartment,Shared room,2,1.0,NYC,1,3.912023005
House,Entire home/apt,8,2.0,LA,8,6.476972363
Apartment,Private room,1,1.0,NYC,1,4.382026635
Condominium,Private room,2,3.0,LA,0,4.49980967
Apartment,Entire home/apt,2,1.0,Chicago,95,4.442651256
Apartment,Entire home/apt,4,1.0,NYC,1,4.828313737
Apartment,Entire home/apt,5,1.0,LA,8,4.779123493
Apartment,Entire home/apt,2,1.0,Boston,28,5.010635294
House,Private room,2,1.0,SF,58,4.49980967
House,Shared room,2,1.0,DC,14,3.80666249
Apartment,Shared room,6,2.0,Chicago,5,4.17438727
Apartment,Entire home/apt,3,1.0,SF,8,4.941642423
House,Private room,2,1.0,NYC,67,4.234106505
House,Private room,2,1.0,DC,18,4.317488114
Apartment,Entire home/apt,3,1.0,NYC,52,4.8598124039999995
Apartment,Entire home/apt,2,1.0,NYC,1,4.65396035
Townhouse,Entire home/apt,6,2.0,SF,5,5.700443572999999
Apartment,Entire home/apt,6,2.0,DC,11,5.010635294
Apartment,Entire home/apt,5,2.0,LA,12,5.298317367
Apartment,Entire home/apt,3,1.0,DC,41,4.8598124039999995
Apartment,Entire home/apt,2,1.0,DC,0,4.691347882
Apartment,Private room,2,1.0,LA,0,4.382026635
Apartment,Private room,2,1.0,NYC,82,4.248495242
Apartment,Private room,2,1.0,NYC,33,4.317488114
House,Entire home/apt,8,2.0,LA,3,5.634789603
House,Entire home/apt,4,4.0,LA,11,6.549650742000001
Apartment,Entire home/apt,4,1.5,SF,5,5.8579331539999995
Apartment,Entire home/apt,6,1.0,NYC,5,4.86753445
Apartment,Entire home/apt,3,2.0,NYC,6,4.828313737
Apartment,Private room,1,2.0,NYC,1,4.248495242
Apartment,Entire home/apt,2,1.0,LA,0,5.549076085
Apartment,Entire home/apt,3,2.0,DC,0,6.783325201
Apartment,Entire home/apt,2,1.0,NYC,0,6.214608097999999
Apartment,Private room,3,1.0,NYC,3,5.043425117
Apartment,Private room,2,1.0,NYC,49,3.8918202980000003
Apartment,Private room,2,2.0,NYC,1,4.317488114
Apartment,Entire home/apt,2,1.0,LA,15,5.393627546
Apartment,Entire home/apt,4,1.0,DC,17,4.700480366
Apartment,Private room,2,1.0,NYC,8,4.382026635
Apartment,Private room,2,1.0,LA,1,4.248495242
Apartment,Private room,2,1.0,NYC,0,4.025351691
Apartment,Entire home/apt,2,1.0,LA,0,4.941642423
Townhouse,Private room,5,1.5,LA,7,3.912023005
House,Shared room,2,1.0,LA,2,3.871201011
Apartment,Private room,1,1.0,NYC,0,4.17438727
House,Entire home/apt,10,2.5,NYC,10,5.4161004020000005
Condominium,Entire home/apt,2,1.0,SF,30,5.521460918
Apartment,Entire home/apt,4,1.0,DC,3,5.370638027999999
Apartment,Private room,1,1.0,NYC,0,3.610917913
Other,Entire home/apt,2,1.0,DC,34,4.442651256
Apartment,Entire home/apt,6,1.0,Chicago,15,5.0039463060000005
Apartment,Private room,2,1.0,NYC,1,4.382026635
Apartment,Entire home/apt,3,1.0,DC,2,5.703782475
Apartment,Entire home/apt,2,1.0,NYC,10,4.828313737
Loft,Private room,10,2.0,NYC,1,3.401197382
House,Private room,2,1.0,LA,2,4.736198448000001
Apartment,Private room,2,2.0,NYC,0,4.317488114
Apartment,Entire home/apt,4,1.0,NYC,1,5.298317367
Apartment,Private room,2,1.0,NYC,10,4.6051701860000005
Apartment,Entire home/apt,4,1.0,NYC,11,4.828313737
Apartment,Entire home/apt,2,1.0,NYC,17,5.010635294
Apartment,Private room,4,1.0,NYC,11,4.17438727
Apartment,Entire home/apt,2,1.0,NYC,0,5.9914645470000005
Apartment,Entire home/apt,2,1.0,NYC,81,5.129898715
House,Private room,2,1.0,Chicago,4,3.737669618
House,Entire home/apt,8,1.5,LA,15,5.8550719220000005
House,Entire home/apt,5,3.0,LA,0,5.783825182
House,Private room,3,1.0,NYC,16,4.753590191
Apartment,Entire home/apt,5,1.0,NYC,8,5.010635294
House,Private room,2,2.5,LA,2,3.912023005
Apartment,Entire home/apt,2,1.0,DC,0,4.86753445
Dorm,Private room,2,1.0,NYC,17,4.17438727
Apartment,Private room,2,1.0,Boston,2,4.382026635
Apartment,Private room,2,1.0,NYC,13,4.304065093
House,Entire home/apt,10,3.0,LA,3,5.9914645470000005
Apartment,Private room,2,1.0,NYC,62,4.691347882
Apartment,Private room,2,1.0,LA,0,4.6051701860000005
Apartment,Entire home/apt,4,1.0,NYC,17,4.787491743
House,Entire home/apt,6,2.0,LA,77,5.433722004
Apartment,Private room,2,1.5,LA,0,4.787491743
House,Private room,1,0.0,LA,7,3.688879454
Apartment,Shared room,2,1.0,LA,0,4.779123493
Apartment,Private room,2,1.0,Boston,4,4.6051701860000005
Apartment,Entire home/apt,4,1.0,LA,10,4.9767337419999995
Apartment,Entire home/apt,6,2.0,LA,0,5.703782475
Apartment,Private room,1,1.0,SF,1,4.787491743
House,Private room,4,2.0,LA,0,3.8918202980000003
Apartment,Entire home/apt,2,1.0,NYC,6,5.298317367
Apartment,Entire home/apt,6,1.0,NYC,50,5.8579331539999995
House,Entire home/apt,6,2.0,DC,1,6.395261597999999
Condominium,Entire home/apt,5,2.0,DC,1,5.293304825
Apartment,Entire home/apt,4,1.0,NYC,73,5.192956851
Apartment,Entire home/apt,5,1.0,NYC,61,5.517452896
Apartment,Entire home/apt,8,1.0,NYC,3,5.105945473999999
Apartment,Entire home/apt,2,1.0,NYC,2,4.700480366
House,Shared room,1,1.0,LA,14,2.890371758
House,Entire home/apt,8,2.0,LA,9,4.919980926
Apartment,Entire home/apt,2,1.0,NYC,2,4.49980967
Apartment,Entire home/apt,4,1.0,DC,0,5.703782475
Townhouse,Private room,2,1.0,NYC,1,5.298317367
House,Entire home/apt,2,1.0,LA,13,5.129898715
House,Private room,1,2.0,SF,11,3.6635616460000002
Apartment,Private room,1,1.0,NYC,1,3.688879454
Apartment,Entire home/apt,2,1.0,NYC,7,5.220355825
Apartment,Private room,2,1.0,Chicago,1,4.234106505
Apartment,Entire home/apt,6,2.0,Boston,66,5.703782475
House,Private room,1,1.0,LA,0,5.666426688
Townhouse,Private room,1,1.0,Chicago,8,4.33073334
Apartment,Private room,2,2.0,NYC,5,4.48863637
House,Private room,2,1.0,NYC,5,3.688879454
Apartment,Private room,1,1.0,NYC,8,4.060443011
House,Private room,4,1.0,SF,14,4.744932128
Apartment,Entire home/apt,5,1.0,NYC,22,4.6051701860000005
Apartment,Private room,2,1.0,NYC,55,4.382026635
Apartment,Entire home/apt,5,1.0,Boston,11,5.521460918
Apartment,Entire home/apt,12,2.0,NYC,7,6.877296071
Apartment,Private room,1,2.0,NYC,0,4.17438727
Apartment,Private room,1,1.0,LA,0,4.248495242
Apartment,Private room,2,1.0,LA,86,4.3694478519999995
House,Entire home/apt,4,2.5,DC,15,6.109247582999999
Apartment,Private room,2,1.0,NYC,2,4.6051701860000005
Apartment,Entire home/apt,2,1.0,SF,7,5.010635294
Apartment,Private room,2,1.0,NYC,45,5.4161004020000005
Apartment,Entire home/apt,2,1.0,NYC,13,4.007333185
Apartment,Private room,2,1.0,NYC,5,4.382026635
House,Entire home/apt,5,1.0,Chicago,62,5.272999559
Treehouse,Private room,2,1.0,LA,118,4.442651256
House,Entire home/apt,16,3.5,LA,1,7.312553498
Apartment,Private room,2,1.0,NYC,40,4.17438727
Apartment,Entire home/apt,4,1.5,LA,1,4.6051701860000005
Apartment,Entire home/apt,5,1.0,NYC,0,5.501258211000001
Apartment,Entire home/apt,2,1.0,Boston,21,4.9344739330000005
Apartment,Shared room,8,1.0,NYC,30,4.060443011
Townhouse,Private room,4,1.0,NYC,5,4.060443011
House,Private room,2,1.0,NYC,15,3.80666249
Apartment,Entire home/apt,3,1.0,LA,86,4.997212274
Apartment,Private room,2,1.0,Chicago,0,4.317488114
House,Private room,2,1.0,Boston,42,4.248495242
Apartment,Private room,2,1.0,Boston,344,4.094344562
Apartment,Private room,2,1.0,NYC,0,4.317488114
Apartment,Entire home/apt,1,1.0,NYC,1,5.164785974
Apartment,Shared room,1,1.0,LA,0,4.17438727
Apartment,Entire home/apt,2,1.0,NYC,52,5.1984970310000005
House,Entire home/apt,12,4.5,LA,1,6.476972363
House,Private room,1,1.0,Boston,22,3.555348061
Apartment,Entire home/apt,2,1.0,NYC,1,5.926926026
House,Entire home/apt,6,2.5,DC,20,5.010635294
House,Entire home/apt,4,2.5,LA,1,6.109247582999999
House,Shared room,4,1.0,LA,10,3.871201011
Apartment,Entire home/apt,5,1.0,LA,17,5.293304825
Apartment,Entire home/apt,4,2.0,LA,1,5.4161004020000005
Apartment,Private room,2,1.0,NYC,17,4.828313737
Apartment,Entire home/apt,4,1.0,NYC,1,5.272999559
House,Private room,2,1.0,DC,22,4.465908119
Other,Shared room,4,1.0,LA,0,5.521460918
Apartment,Entire home/apt,2,1.0,DC,4,4.17438727
Apartment,Entire home/apt,5,1.0,LA,4,4.304065093
Apartment,Private room,2,1.5,NYC,1,4.442651256
Apartment,Entire home/apt,7,1.0,NYC,20,5.9889614170000005
